puzzle_id,puzzle,ground_truth,model_answer,strategy,difficulty
10,Kuba kupił 3 jabłka za 6 zł. Ile kosztuje jedno?,2,"1. Przejrzymy problemu i zidentyfikujemy dane: Kuba kupił 3 jabłka, a całkowity koszt to 6 złotych.

  2. Rozbijemy problem na mniejsze kroki:
      - Znalazłośmy sumę wartości (6 zł), liczbę przedmiotów (3 jabłka) i cenę poszczególnego przedmiotu (x zł za jedno jabło).

  3. Rozwiążemy każdy krok osobno:
      - Aby znaleźć cenę poszczególnego przedmiotu, podzielimy sumę przez liczbę przedmiotów (6 zł / 3 jabłka = x zł).

  4. Wyciągnijmy ostateczny wniosek:
      - Cena jednego jabłka to x zł, gdzie x = 2 zł.

Odpowiedź: Jeśli chcemy znaleźć cenę jednego jabłka, musimy podzielić sumę przez liczbę przedmiotów. W rezultacie cena jednego jabłka to 2 zł.",Few-Shot CoT,easy
11,"Jeśli dzisiaj jest wtorek, jaki dzień będzie za trzy dni?",piątek,Odpowiedź: Piątek,Zero-Shot,easy
11,"Jeśli dzisiaj jest wtorek, jaki dzień będzie za trzy dni?",piątek,Odpowiedź: piątek,One-Shot,easy
11,"Jeśli dzisiaj jest wtorek, jaki dzień będzie za trzy dni?",piątek,Odpowiedź: piątek,Few-Shot,easy
11,"Jeśli dzisiaj jest wtorek, jaki dzień będzie za trzy dni?",piątek,"1. Analizuję problem: W tym przypadku problem dotyczy określenia danego dnia w tygodniu po przeszukaniu kolejnych dni.

  2. Rozbijam problem na kroki: Dzisiaj jest wtorek, więc możemy założyć, że każdy kolejny dzień będzie również określany według tygodnia od poniedziałku.

  3. Rozwiązuję kroki: Przed trzema dniami po wtorku leży piątek, ponieważ liczymy 3 do niedzieli (7-4=3).

  4. Wynik: Odpowiedź: Piątek",Zero-Shot CoT,easy
11,"Jeśli dzisiaj jest wtorek, jaki dzień będzie za trzy dni?",piątek,"1. Analiza problemu: Został nam podany fakt, że dzisiaj jest wtorek. Wymagamy odszukania odpowiedzi na pytanie: Kto będzie pracować za trzy dni?

  2. Rozbicie problemu na mniejsze kroki:
      - Jest to problem z zakresu czasu (w tym przypadku ciągłości dni tygodnia), więc powinna być odpowiedź w postaci nazwy dnia.
      - Aby odnaleźć odpowiedź, należy po prostu ująć dzisiejszy dzień (wtorek) i do niego dodać trzy dni.

  3. Rozwiązanie każdego kroku:
      - Jeśli dzisiaj jest wtorek, to jutrzenka będzie środą. Po trzech dniach będzie poniedziałek.

  4. Ostateczny wniosek:
      - Odpowiedź: poniedziałek",Few-Shot CoT,easy
12,Która liczba większa: 3/4 czy 5/6?,5/6,Odpowiedź: 5/6,Zero-Shot,medium
12,Która liczba większa: 3/4 czy 5/6?,5/6,Odpowiedź: 5/6 jest większa.,One-Shot,medium
12,Która liczba większa: 3/4 czy 5/6?,5/6,Odpowiedź: 5/6,Few-Shot,medium
12,Która liczba większa: 3/4 czy 5/6?,5/6,"1. Analyze the problem: Given two fractions, we need to determine which one is greater. We will compare their values without performing any calculations first.

  2. Break down the problem into smaller steps: Compare 3/4 and 5/6 visually (as fractions with areas) or by converting them into common denominators (the least common multiple of 4 and 6, which is 12).

  3. Solve each step: Let's compare the visual representations first: A square with side length 3 units has an area of 9 sq.units (3*3). A square with side length 5 units has an area of 25 sq.units (5*5). Since 25 is greater than 9, it means that 5/6 is a larger fraction than 3/4.

   Alternatively, we can convert the fractions to a common denominator of 12:
      - Multiply both numbers and their denominators by appropriate factors until they share a common multiple (in this case 12).
      - 3 * 3 = 9, 4 * 3 = 12; so multiply the numerator of 3/4 by 3/3 to get 9/12. Similarly, 5 * 2 = 10 and 6 * 2 = 12 for 5/6.
      - Now we can compare the fractions: 9/12 and 10/12. Since 10 is greater than 9, it means that the larger fraction is still 5/6.

  4. Draw a conclusion: The final answer is 'The number greater is 5/6.'",Zero-Shot CoT,medium
12,Która liczba większa: 3/4 czy 5/6?,5/6,"1. Analityczne rozumowanie:
     - Komparujemy dwie ułamki: 3/4 i 5/6
     - Aby porównać, musimy wyraźnie zdefiniować, w jaki sposób chcemy porównywać dane ułamki. Jeden z najprostszych sposobów to mnożenie przez ten sam mianownik i porównanie wtedy liczb całkowitych.
     - Więc podniesiem oba ułamki do 24, ponieważ 4 * 6 = 24 a 3 * 8 = 24.
     - Teraz mamy porównywać liczby całkowite: 12 i 20

2. Rozbijanie problemu na mniejsze kroki:
   - Podniesienie ułamków do tego samego mianownika (24 w tym przypadku) i porównanie wtedy liczb całkowitych, jak wyraźnie określiłem w punkcie 1.

3. Rozwiązywanie poszczególnych kroków:
   - Podniesienie ułamków do tego samego mianownika (24) daje nam liczby całkowite: 12 i 20

4. Wyciąganie ostatecznego wniosku:
   - Porównując liczby całkowite 12 i 20, zauważamy, że 20 jest większe niż 12.
   - Więc odpowiedź na naszą zagadkę to: 'Odpowiedź: 5/6' (bo taką liczbą całkowitą daje nam liczba 20, jaka jest większa niż liczba 12).",Few-Shot CoT,medium
13,"Wiktor biega szybciej niż Ania, ale wolniej niż Janek. Kto biega najszybciej?",Janek,Odpowiedź: Ania nie biegnie najszybciej. Wiktor i Janek biegają szybciej niż ona.,Zero-Shot,easy
13,"Wiktor biega szybciej niż Ania, ale wolniej niż Janek. Kto biega najszybciej?",Janek,Odpowiedź: Janek,One-Shot,easy
13,"Wiktor biega szybciej niż Ania, ale wolniej niż Janek. Kto biega najszybciej?",Janek,Odpowiedź: Janek,Few-Shot,easy
13,"Wiktor biega szybciej niż Ania, ale wolniej niż Janek. Kto biega najszybciej?",Janek,"1. Analiza problemu:
     - Dostaliśmy trzech biegaczy: Wiktora, Anię i Janka
     - Zostało podane, że Wiktor biega szybciej niż Ania i wolniej niż Janek

  2. Rozbicie problemu na mniejsze kroki:
     - Pierwszy krok: Porównaj Wiktora z Janem
     - Drugi krok: Jeśli Wiktor biegnie powoli, to nie jest on najszybszy
     - Trzeci krok: Zeby znać czy Ania biega szybciej niż Wiktor musimy porównać oboje

  3. Rozwiązanie poszczególnych kroków:
     - Pierwszy krok: Porównaj Wiktora z Janem. Znaleźliśmy, że Wiktor biegnie powoli niż Janek (wolniej). Więc ten nie jest najszybszy.
     - Drugi krok: Teraz porównaj Wiktora i Anię. Nie ma żadnych informacji, które miałyby nam pomóc w ustaleniu, czy Wiktor biegnie szybciej niż Ania. Zatem musimy założyć, że ich prędkości są równe.

  4. Wniosek ogólny:
     - Nikt z namienionych nie jest najszybszym biegaczem (Wiktor wolniej i nie mamy informacji o jego prędkości względem Ani, natomiast Janek biega szybciej niż Wiktor).",Zero-Shot CoT,easy
13,"Wiktor biega szybciej niż Ania, ale wolniej niż Janek. Kto biega najszybciej?",Janek,"1. Analizuj problem dokładnie:
     - Podajemy trzy osoby: Wiktor, Ania i Janek. Potwierdzono, że Wiktor biega szybciej niż Ania i wolniej niż Janek.

  2. Rozbij problem na mniejsze kroki:
     - Pierwszy krok: Sprawdź, czy Wiktor biega szybciej niż Ania (tak) i czy Ania biegnie szybciej niż Janek (nieznana wartość).
     - Drugi krok: Sprawdź, czy Janek biegnie szybciej niż Wiktor (nieznana wartość).

  3. Rozwiąż każdy krok osobno:
     - Pierwszy krok: Znana jest relacja 'Wiktor > Ania', ale nie znana jest relacja 'Ania > Janek'. W zależności od relacji 'Ania > Janek' można wywnioskować, że biegają w kolejności: Wiktor > Ania > ?, gdzie '?' oznacza trzecią osobę.
     - Drugi krok: Jeśli nie znana jest relacja 'Janek > Wiktor', to musi być spełniona relacja 'Wiktor < Janek'. Wówczas kolejność biegania osób wynosi: Wiktor < Janek > Ania.
     - Zauważmy, że dostępem do więcej informacji nie zmieni się wyniki wywnioskowane na podstawie zadanego warunku.

  4. Wyciągnij ostateczny wniosek:
     - Jeśli ustalono, że 'Wiktor < Janek', to biegają one w kolejności: Wiktor < Janek > Ania. Biega najszybciej osoba znajdująca się na początku kolejności, tj. Wiktor.
     - Odpowiedź: Wiktor (biegający najszybciej).",Few-Shot CoT,easy
14,"Pies waży więcej niż kot, ale mniej niż koń. Które zwierzę jest najcięższe?",koń,Odpowiedź: Pies,Zero-Shot,easy
14,"Pies waży więcej niż kot, ale mniej niż koń. Które zwierzę jest najcięższe?",koń,Odpowiedź: Koń,One-Shot,easy
14,"Pies waży więcej niż kot, ale mniej niż koń. Które zwierzę jest najcięższe?",koń,Kot,Few-Shot,easy
14,"Pies waży więcej niż kot, ale mniej niż koń. Które zwierzę jest najcięższe?",koń,"1. Analizacja problemu: Zaprezentowana zagadka porównuje wagi trzech różnych zwierząt - psa, kota i konia.
  2. Rozbicie problemu na mniejsze kroki:
     - Sprawdź czy każde z dwóch porównań (pies > kot i koń > pies) jest prawdziwe.
     - Jeśli są obydwa prawdziwe to wagę najcięższego zwierzęcia można określić na podstawie tych porównań (konie musi być cięższe od psa, a ten już większy od kota).
    3. Rozwiązanie pierwszego kroku: Porównanie ""pies > kot"" jest prawdziwe jeśli pies waży więcej niż kot. Ponieważ pies został wcześniej nazwany, nie można go porównywać z sobą. Zakładać możemy tylko że kot jest mniejszy od psa i pies waży więcej niż kot.
    4. Rozwiązanie drugiego kroku: Porównanie ""konie > pies"" jest prawdziwe jeśli konie waży więcej niż pies, który już wcześniej został nazwany i nie może zostać porównany z sobą. Zakładać możemy tylko że pies jest mniejszy od konia, a konie powinni być cięższe niż pies (ponieważ ""pies > kot"", ale pies jest mniejszy od konia).
    5. Wnioski: Ponieważ wagi obydwu zwierząt (psa i końskiego) zostały już nazwane, a jedno z porównań jest prawdziwe, więc musi być to prawdziwe również drugie. Konie są cięższe od psów.
  6. Odpowiedź: Odpowiedź: Koń",Zero-Shot CoT,easy
14,"Pies waży więcej niż kot, ale mniej niż koń. Które zwierzę jest najcięższe?",koń,"1. Analyzuj problem: Zawiera się informacja o trzech zwierzątach (pies, kot i konie) oraz ich wadze, jednak nie podane są liczby. Pies waży więcej niż kot, ale mniej niż koń.

  2. Podział problemu na mniejsze kroki: Zróbmy porównania dwóch zwierząt na raz, aby ustalić ich kolejność względem swojej wagi.

  3. Rozwiązanie każdego kroku:

     a) Pies waży więcej niż kot.
       - Jeśli pies i kot ważyły identycznie, nie mogłoby być powiedziane, że pies waży więcej.
       - To oznacza, że kot jest najlżejszy spośród tych dwóch zwierząt.

     b) Pies waży mniej niż koń.
       - Jeśli pies i konie ważyły identycznie, nie mogłoby być powiedziane, że pies waży mniej.
       - To oznacza, że pies jest cięższy od kota, a konie jest najcięższe spośród tych trzech zwierząt.

  4. Ostateczny wniosek: Pies jest najlżejszym spośród tych trzech zwierząt (ponieważ waży mniej niż kot), a konie jest najcięższe.",Few-Shot CoT,easy
15,2+2*2 = ?,6,Odpowiedź: 6,Zero-Shot,easy
15,2+2*2 = ?,6,Odpowiedź: 6,One-Shot,easy
15,2+2*2 = ?,6,Odpowiedź: 6,Few-Shot,easy
15,2+2*2 = ?,6,"1. Analityczne zbadanie problemu: Wzór 2 + 2 * 2 to wypunktowanie matematyczne, oznaczające, że należy wykonawać operacje arytmetyczne według następujących reguł: Najpierw należy obliczyć iloczyn, a po tym sumę.

2. Rozbicie problemu na mniejsze kroki: Pierwsza operacja to wykonanie mnożenia 2 * 2 (4). Druga operacja to dodawanie do tej liczby 2 (6).

3. Rozwiązanie każdego kroku osobno: Krok 1 - iloczyn 2 * 2 jest równy 4. Krok 2 - dodanie wyniku z kroku 1 do 2 daje wartość 6.

4. Wyciągnięcie ostatecznego wniosku: Odpowiedź: 6.",Zero-Shot CoT,easy
15,2+2*2 = ?,6,"1. Zanalyzujemy problem: W nim jest jedna operacja matematyczna - mnożenie (2*2) i dodawanie (2+2). Jest to wyrażenie typu zasadniczej potęgi.

  2. Rozbijemy problem na kroki: Pierwszym krokiem jest wykonanie mnożenia, drugim - dodawania.

  3. Wykonujemy każdy krok osobno: W pierwszej części problemu musimy wypożyczyć się od szkolnych nauczycieli i przypomnieć sobie jak dzielić na liczbę składającą się z dwóch cyfr, albo wykorzystać regułę BODMAS (Brackets, Orders of Operations, Division, Multiplication, Addition, Subtraction). Zastosowanie reguły BODMAS oznacza mnożenie jako pierwszą operację - wówczas wynikiem mnożenia jest 4.

   Drugi krok dotyczy dodawania dwóch liczb 2 i 4. Wynikiem tego kroku jest suma 6.

  4. Ostateczny wniosek: Wynik całej operacji, jak opisano wyżej, to liczba 6. 'Odpowiedź: 6'",Few-Shot CoT,easy
16,"Liczba podzielna przez 2 i 3, ale nie przez 6. Czy istnieje?",nie,"Odpowiedź: 6 nie jest moją odpowiedzią. Mogłabym powiedzieć, że liczbą podzielną przez 2 i 3, ale nie przez 6 jest 12 (gdyż 12 = 4*3). Jednak zadanie prosi o liczbę dla której istnieje wszystko co stwierdzono. Wtedy należy powiedzieć że takiej liczby nie istnieje, bo jeśli będzie ona podzielna przez 2 i 3 to musi być podzielna również przez ich największy wspólny dzielnik (co jest równy 6).",Zero-Shot,hard
16,"Liczba podzielna przez 2 i 3, ale nie przez 6. Czy istnieje?",nie,"Odpowiedź: Tak. Liczbą ta jest 6. To liczba przestępstwa (niewiększa niż 50), ponieważ podzielna jest tylko przez 1 i siebie, nie podzielna przez 2, 3 lub 4. Jednak dla ujednoznacowienia, można wymienić wielokrotności liczb pierwszych, np.: 6, 18, 30, 54...",One-Shot,hard
16,"Liczba podzielna przez 2 i 3, ale nie przez 6. Czy istnieje?",nie,"Odpowiedź: Tak, liczbą tą jest 6.

Rozważanie:
Liczby podzielne przez 2 i 3 są też podzielne przez 6. Jednak liczba 6 jest podzielna przez 2 i 3, lecz nie jest podzielna przez 6 (jej reszta z dzielenia przez 6 to 1).",Few-Shot,hard
16,"Liczba podzielna przez 2 i 3, ale nie przez 6. Czy istnieje?",nie,"1. Analizacja problemu: Zadana liczba musi być podzielna przez 2 oraz 3 (z tego że jest podzielna przez oba te działania), ale nie może być podzielna przez 6, gdyż to oznaczałoby, że była podzielna przez ich największe wspólne wielokrotność - 6.

  2. Rozbicie problemu na mniejsze kroki: Możemy rozważyć, jakie liczby są podzielne przez 2 i 3 bez podzielności przez 6. Najprostszym sposobem jest zastosowanie przypuszczenia i wykluczenia.

  3. Rozwiązanie poszczególnych kroków:
      - Pierwsze liczby, które są podzielne przez 2 i 3 to 6 (taką liczbę wykluczamy z rozważań ze względu na warunek), potem 12, następnie 18 i tak dalej.
      - Ponieważ poszukiwanych liczb jest ograniczona, przypuszczamy, że tego rodzaju liczb jest określonym i ograniczonym zestawem (np. 6, 12, 18, ...).
      - Przed rozpatrzeniem kolejnych liczb powtarzamy nasze testy działań: czy podzielna przez 2, czy podzielna przez 3, ale nie czy podzielna przez 6.
      - Zauważamy, że wszystkie liczby są podzielne przez 6 (jest to wielokrotność liczb podzielnych przez 2 i 3). W ten sposób wykluczamy je z rozważań.
      - Ponieważ wszystkie liczby zestawu są podzielne przez 6, to żadna z nich nie spełnia warunków: być podzielną przez 2 i 3, ale nie przez 6.

  4. Wniosek: Istnieje taka liczba, jednak w zestawie liczb podzielnych przez 2 i 3 znajdujących się w naszym rozumowaniu nie ma takiej liczby.",Zero-Shot CoT,hard
16,"Liczba podzielna przez 2 i 3, ale nie przez 6. Czy istnieje?",nie,"1. Analiza problemu: Mamy liczbę naturalną, która jest podzielna przez 2 i 3, ale nie przez 6.

  2. Rozbicie problemu na mniejsze kroki: Zwróć uwagę, że liczba podzielna przez 2 ma parzystą wartość, natomiast liczba podzielna przez 3 musi mieć wartość zbliżoną do 3 (moduł 3 równy 0). Ograniczając się do liczb całkowitych nie przekraczających 6, które są podzielne przez 2 i 3, otrzymujemy liczby 2 i 3.

  3. Rozwiązanie każdego kroku: Liczba może być równa 6 (podzielna przez 2 i 3), jednak założenie jest, że nie jest to tak. W przypadku wykluczenia liczb mniejszych niż 6 z podanych warunków, pozostaje tylko liczba 6 jako kandydat na rozwiązanie.

  4. Ostateczny wniosek: Istnieje jedna liczba naturalna, która jest podzielna przez 2 i 3, ale nie przez 6 - odpowiedź: Nie

    Uwaga: W przypadku liczb większych niż 6 (np. 12, 18) może się zdarzyć, że znajdą się liczby spełniające warunki podanej zagadki. Jednak ograniczając rozważania do naturalnych liczb mniejszych niż 6, nie istnieje odpowiedź na zadany problem.",Few-Shot CoT,hard
17,"Liczba większa od 10, mniejsza niż 20, podzielna przez 3. Jaka?","12,15,18",Odpowiedź: 15,Zero-Shot,hard
17,"Liczba większa od 10, mniejsza niż 20, podzielna przez 3. Jaka?","12,15,18","Odpowiedź: 18 nie jest poprawna odpowiedź, ponieważ nie jest ona liczbą podzielną przez trzy. Zamieniamy liczbę 18 na 15 (15*3=45) i dzielimy ją przez trzy:
   Odpowiedź: 15/3=5
   To jest poprawna odpowiedź, ponieważ 5 jest liczbą podzielną przez trzy mniejszą niż 20.",One-Shot,hard
17,"Liczba większa od 10, mniejsza niż 20, podzielna przez 3. Jaka?","12,15,18",Odpowiedź: 18,Few-Shot,hard
17,"Liczba większa od 10, mniejsza niż 20, podzielna przez 3. Jaka?","12,15,18","1. Analizuję problem: Zakres liczb to które są większe od 10 i mniejsze niż 20. Liczby te podzielne przez 3 muszą znajdować się w tym zakresie.

  2. Rozbiję problem na kroki:
     - Sprawdzam, czy liczby z zakresu są podzielne przez 3.

  3. Rozwiązuję każdy krok osobno:
      - Śledzę liczby większe od 10 i mniejsze niż 20, czy są podzielne przez 3. Przykładowo: 11 nie jest podzielne przez 3, 12 także nie jest podzielne przez 3. Ale liczby 12, 15, 18 są podzielne przez 3.
      - Obserwuję, że większość liczb z zakresu podzielnych przez 3 to niewielka mnożyna liczb (np. 3, 6, 9, 12, 15, 18).
      - Konkluduje, że najmniejsza liczba większa od 10 i podzielna przez 3 to 12.

  4. Wyciągam ostateczny wniosek:

Odpowiedź: 12",Zero-Shot CoT,hard
17,"Liczba większa od 10, mniejsza niż 20, podzielna przez 3. Jaka?","12,15,18","1. Pierwszy krok - przegląd problem: Zadana jest liczba całkowita, która spełnia trzy warunki: powinna być większa od 10, mniejsza niż 20 oraz podzielna przez 3.
  2. Drugi krok - rozbicie problem na mniejsze części:
      - Znajdź liczbę większą od 10 i mniejszą niż 20, która jest podzielna przez 3 (przykładowo 12, 15).
      - Wyklucz liczby, które nie spełniają warunków (np. 9, 21).
  3. Trzeci krok - rozwiązanie poszczególnych części:
      - Znajdź wszystkie liczby podzielne przez 3 mniejsze niż 20 (6, 12, 18). Jedynie 12 spełnia także warunek bycia mniejszym od 20.
  4. Czwarty krok - wyciągnij ostateczny wniosek:
      - Odpowiedź: 12",Few-Shot CoT,hard
18,5 maszyn robi 5 przedmiotów w 5 minut. Ile 100 maszyn w 100 minut?,2000,100 maszyn robi 100 razy 5 przedmiotów w 100 razy 5 minut. Odpowiedź: 500 przedmiotów,Zero-Shot,hard
18,5 maszyn robi 5 przedmiotów w 5 minut. Ile 100 maszyn w 100 minut?,2000,"Odpowiedź: 5000 (5 maszyny produkują jeden przedmiot za 5 minuty, dlatego 100 maszyn produkuje 100 po 5 minut, czyli w sumie 500 przędytów)",One-Shot,hard
18,5 maszyn robi 5 przedmiotów w 5 minut. Ile 100 maszyn w 100 minut?,2000,"100 maszyn robi 5 przedmiotów w 5 minut, czyli po jednym przedmiotem w minute.
Więc 100 maszyn będzie produkować 100 x 60 = 6000 przedmiotów w 100 minut.

Odpowiedź: 6000 przedmiotów",Few-Shot,hard
18,5 maszyn robi 5 przedmiotów w 5 minut. Ile 100 maszyn w 100 minut?,2000,"1. Analityczne przeglądanie problemu:
      - Otrzymano informację, że 5 maszyn robi 5 przedmiotów w ciągu 5 minut i chcemy wyliczyć liczbę produktów zrobionych przez 100 maszyn w czasie 100 minut.
      - Założenia: Maszyna A może zrobić jeden przedmiot w 1 minucie.

  2. Rozbijanie problemu na mniejsze kroki:
      - Liczymy szybkość pracy maszyny (jedna maszyna robi jeden przedmiot w ciągu 1 minuty).
      - Zliczamy liczbę przedmiotów zrobionych przez jedną maszynę w czasie 5 minut. (5 × szybkość pracy jednej maszyny)
      - Liczymy szybkość pracy 100 maszyn (100 maszyn po 1 minucie).
      - Zliczamy liczbę przedmiotów zrobionych przez 100 maszyn w czasie 5 minut. (100 × szybkość pracy jednej maszyny)
      - Liczymy liczbę przedmiotów zrobionych przez 100 maszyn w ciągu 100 minut. (100 × liczba minut)

  3. Rozwiązanie kroków osobno:
      - Szybkość pracy jednej maszyny: 1 przedmiot/minuta
      - Liczba przedmiotów zrobionych przez jedną maszynę w czasie 5 minut: (1 × 5) = 5 przedmiotów
      - Szybkość pracy 100 maszyn: 100 maszyn po 1 minucie = 100 szybkości maszyny = 100 przedmiotów/minuta
      - Liczba przedmiotów zrobionych przez 100 maszyn w czasie 5 minut: (100 × 5) = 500 przedmiotów
      - Liczba przedmiotów zrobionych przez 100 maszyn w ciągu 100 minut: (100 × 100) = 10000 przedmiotów

  4. Ostateczne rozumowanie i odpowiedź:
      - W sumie 100 maszyn w stanie zrobić 10000 przedmiotów w ciągu 100 minut.
      - Odpowiedź: 10000 przedmiotów",Zero-Shot CoT,hard
18,5 maszyn robi 5 przedmiotów w 5 minut. Ile 100 maszyn w 100 minut?,2000,"1. Analizujemy problem: mamy zadanie o ilu przedmiotów robią 100 maszyn w czasie 100 minut. Wiemy, że jedna maszyna robi jeden przedmiot w jednej minucie.

  2. Rozbijemy problem na mniejsze kroki: liczymy ilu prac 1 maszyna zrobi w czasie 100 minut i potem mnożymy przez 100 maszyn.

  3. Rozwiązujemy każdy krok osobno:
     - Ilu prac robimy w jednej minucie 1 maszyną? Odpowiedź: 1 przedmiot (jedna maszyna robi jeden przedmiot)
     - Ilu minut trwa czas pracy dla jednej maszyny? Odpowiedź: 100 minut (gdyż całe zadanie dotyczy czasu 100 minut i mamy jedną maszynę).
     - Ile prac robimy w tych 100 minutach 1 maszyną? Odpowiedź: 100 przedmiotów (bo czas pracy dla jednej maszyny to całe zadanie, jak powiemy w poprzednim kroku).
     - Ilu prac robimy w tych 100 minutach 100 maszynami? Odpowiedź: 10 000 przedmiotów (bo mamy 100 maszyn i każda robi jeden przedmiot w 100 minutach)

  4. Wyciągamy ostateczny wniosek: W 100 minutach 100 maszyn robi 10 000 przedmiotów.",Few-Shot CoT,hard
19,Suma dwóch liczb wynosi 10. Jedna to 4. Jaka jest druga?,6,Odpowiedź: 6,Zero-Shot,easy
19,Suma dwóch liczb wynosi 10. Jedna to 4. Jaka jest druga?,6,Odpowiedź: 6,One-Shot,easy
19,Suma dwóch liczb wynosi 10. Jedna to 4. Jaka jest druga?,6,Odpowiedź: 6,Few-Shot,easy
19,Suma dwóch liczb wynosi 10. Jedna to 4. Jaka jest druga?,6,"1. Analityczne analizowanie problemu - Została podana informacja, że suma dwóch liczb wynosi 10, a jedna z nich to 4. Więc pozostaje znalezienie drugiej liczby, która razem z pierwszą daje sumę 10.
  2. Rozbicie problemu na mniejsze kroki - Zadanie można podzielić na dwie części:
      a) Faktyczne wyznaczenie liczby, która razem z 4 daje sumę 10.
      b) Weryfikacja odpowiedzi, czy ta liczba jest rzeczywistą drugą liczbą w podanym problemie.
  3. Rozwiązanie każdego kroku osobno - a) Można to rozwiązać poprzez próbkę i błąd, czyli od najmniejszej do największej liczby wyszukując liczbę, która razem z 4 daje sumę 10.
      - Sprawdzamy 6-4 = 10, więc liczba, którą szukamy to 6.
  4. Weryfikacja odpowiedzi - czy ta liczba jest rzeczywistą drugą liczbą w podanym probleme?
      - W podanej zagadce nie dano innych informacji o drugiej liczbie, jedynie że suma dwóch liczb wynosi 10. Więc liczba 6 jest odpowiedzią na pytanie jaką jest druga liczba.

Odpowiedź: Druga liczba to 6.",Zero-Shot CoT,easy
19,Suma dwóch liczb wynosi 10. Jedna to 4. Jaka jest druga?,6,"1. Analiza problemu: Dane są informacje o sumie dwóch liczb oraz wartości jednej z nich (4).
  2. Podział na mniejsze kroki:
      - Odrzucić nieprawidłowe odpowiedzi (liczby ujemne, liczby większe niż 6)
      - Wyznaczyć pośrednią wartość między 4 a 10 i sprawdzić czy jest ona nieprawidłowa
     3. Rozwiązanie kroku po kroku:
         - Najmniejsza liczba od 5 do 6 to 5. Odrzuć, ponieważ 4 + 5 = 9, a suma powinna być równa 10
         - Największa liczba od 5 do 6 to 6. Sprawdź czy 4 + 6 = 10, suma jest prawidłowa
         - Wartość pośrednia między 4 a 10 to (4+10)/2 = 7, ale ta liczba nie jest jedną z podanych jako opcje, więc odrzuć.
     4. Ostateczny wniosek:
         - Rozważając tylko liczby od 5 do 6 i pośrednią wartość między 4 a 10, odpowiedzią na pytanie jest: 6.",Few-Shot CoT,easy
20,Zosia ma trzy razy więcej cukierków niż Bartek. Bartek ma 2. Ile ma Zosia?,6,Odpowiedź: Zosia ma 6 cukierków.,Zero-Shot,easy
20,Zosia ma trzy razy więcej cukierków niż Bartek. Bartek ma 2. Ile ma Zosia?,6,"Odpowiedź: Zosia ma 6 cukierków. (Dla pewności, jeśli Bartek ma 2, to Zosia musi mieć trzy razy więcej, czyli 6.)",One-Shot,easy
20,Zosia ma trzy razy więcej cukierków niż Bartek. Bartek ma 2. Ile ma Zosia?,6,Odpowiedź: Zosia ma 6 cukierków.,Few-Shot,easy
20,Zosia ma trzy razy więcej cukierków niż Bartek. Bartek ma 2. Ile ma Zosia?,6,"1. Analizuję problem:
     - Zosia ma trzy razy więcej cukierków niż Bartek
     - Bartek posiada 2 cukierki

  2. Rozbijam problem na mniejsze kroki:
     - Wiem, że Zosia posiada więcej cukierków od Barteka i liczba ta jest trzy razy większa od liczby cukierków u Barteka
     - Znać muszę ilu cukierków posiada Bartek, aby móc wyliczyć ilu cukierków ma Zosia (jest to liczba trzy razy większa)

  3. Rozwiązuję każdy krok osobno:
     - Bartek posiada 2 cukierki, a Zosia posiada trzy razy więcej cukierków od niego. Wiedzę, że trzy razy większa liczba to mnożenie tej liczby przez trzy
     - Liczba otrzymana poprzez pomnożenie dwóch jest 6 (2 * 3 = 6)
     - A teraz po prostu daję Bartekowi ilu cukierków Zosia ma, czyli trzy razy więcej od liczby cukierków u Barteka, tzn. 6 + 2 = 8

  4. Wyciągam ostateczny wniosek:
     - Odpowiedź: Zosia ma 8 cukierków",Zero-Shot CoT,easy
20,Zosia ma trzy razy więcej cukierków niż Bartek. Bartek ma 2. Ile ma Zosia?,6,"1. Problem jest zdefiniowany w sposób jasny i rozwikłany. Mamy dwa osobniki (Zosia i Bartek) oraz liczbę cukierków u Barteka (2). Informacja podana dotyczy iloczynu Zosii i Barteka, który wynosi trzy razy większy od ilości cukierków u Barteka.

  2. Rozbijemy problem na mniejsze kroki:
     a. Jak wiele cukierków ma Zosia, jeśli posiada ona trzy razy więcej niż Bartek?
     b. Ile cukierków musi mieć Zosia, aby miała trzy razy tyle, ile Bartek posiada?

  3. Rozwiązujemy kroki osobno:
     a. Iloczyn dwóch liczb jest równy ich sumie. Wiemy, że iloczyn wynosi 3 * 2 = 6, dlatego też liczby muszą spełniać warunek: 6 = liczba1 + liczba2
     b. Musimy odnaleźć liczbę Zosii, która jest trzykrotnie większa od 2 cukierków Barteka. Wiemy, że iloczyn dwóch liczb spełnia warunek 6 = x + 2 (z zachowaniem zasady, że Zosia ma trzy razy więcej niż Bartek). Rozwiązując równanie 6 = x + 2 otrzymamy:
       x = 6 - 2 = 4
     Więc Zosia ma 4 cukierków.

  4. Wyciągamy ostateczny wniosek:

Odpowiedź: Zosia ma 4 cukierków",Few-Shot CoT,easy
21,Pięć osób zje 5 kanapek w 5 minut. Ile kanapek 1 osoba w 5 minut?,1,Odpowiedź: 1 kanapek,Zero-Shot,easy
21,Pięć osób zje 5 kanapek w 5 minut. Ile kanapek 1 osoba w 5 minut?,1,Odpowiedź: 1,One-Shot,easy
21,Pięć osób zje 5 kanapek w 5 minut. Ile kanapek 1 osoba w 5 minut?,1,Odpowiedź: 1,Few-Shot,easy
